drug1,drug2,label
metronidazole metronidazole topical metronidazole metronidazole metronidazole,oral semaglutide semaglutide semaglutide semaglutide semaglutide,1
metronidazole metronidazole topical metronidazole metronidazole metronidazole,clonidine hydrochloride clonidine hydrochloride clonidine hydrochloride clonidine hydrochloride clonidine hydrochloride,0
spironolactone spironolactone spironolactone spironolactone and hydrochlorothiazide spironolactone,lacosamide lacosamide lacosamide lacosamide lacosamide,0
zafirlukast zafirlukast zafirlukast zafirlukast zafirlukast,"aconitum napellus, argentum nitricum, arnica montana, arsenicum album, astragalus membranaceus, baptisia tinctoria, bryonia (alba), calendula officinalis, cortisone aceticum, echinacea (angustifolia), eupatorium perfoliatum, euphorbium officinarum, gelsemium sempervirens, hepar sulphuris calcareum, influenzinum (2023-2024), lachesis mutus, mercurius corrosivus, phosphorus, phytolacca decandra, pulsatilla (pratensis), pyrogenium, rhus tox, sanguinaria canadensis, spleen (suis), sulphur, thuja occidentalis, arnica montana, belladonna, cortisone aceticum, hypericum perforatum, symphytum officinale acetaldehyde, dopamine hydrochloride, dhea (dehydroepiandrosterone), 7-oxo- dehydroepiandrosterone 3-acetate, folliculinum, oophorinum (suis), cholesterinum, progesterone, testosterone, cortisone aceticum, aldosterone, androsterone, follicle stimulating hormone sarcolacticum acidum, viscum album, iodium, fucus vesiculosus, galium aparine, natrum oxalaceticum, thyroidinum (suis), dhea (dehydroepiandrosterone), phenyl isothiocyanate, tyramine, adenosinum triphosphoricum dinatrum, alpha-ketoglutaricum acidum, fumaricum acidum, malicum acid, colchicum autumnale, conium maculatum, funiculus umbilicalis suis, hepar suis, medulla ossis suis, pineal gland (suis), spleen (suis), thymus (suis), calcarea fluorica, pulsatilla (pratensis), spongia tosta, cortisone aceticum, caltha palustris, clematis erecta, galium aparine, hedera helix, juniperus communis, sedum acre, sempervivum tectorum, thuja occidentalis, urtica urens, echinacea (angustifolia), argentum metallicum, calcarea fluorica, nitricum acidum, phosphorus, cortisone aceticum, aurum metallicum, apis mellifica, ononis spinosa, gaertner bacillus (bach)",1
miconazole nitrate miconazole nitrate miconazole nitrate miconazole nitrate miconazole nitrate,allopurinol allopurinol allopurinol allopurinol allopurinol,0
benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride amlodipine and benazepril hydrochloride benazepril hydrochloride,olmesartan medoxomil-hydrochlorothiazide amlodipine and olmesartan medoxomil olmesartan medoxomil and hydrochlorothiazide olmesartan medoxomil and hydrochlorothiazide olmesartan medoxomil,1
sulindac sulindac sulindac sulindac sulindac,"testosterone testosterone cypionate petroselinum sativum, populus tremuloides, sabal serrulata, chimaphila umbellata, adenosinum triphosphoricum dinatrum, equol, kreosotum, nadidum, testosterone, prostate (suis), succinicum acidum, hepar sulphuris calcareum, conium maculatum, proteus (mirabilis), proteus (vulgaris) testosterone aconiticum acidum, cis-, apis venenum purum, aquilegia vulgaris, bovista, cypripedium pubescens, estradiol, faecalis (alkaligenes), folliculinum, funiculus umbilicalis suis, glandula suprarenalis suis, heart (suis), hydrastis canadensis, hypophysis suis, kreosotum, lachesis mutus, lilium tigrinum, magnesia phosphorica, mercurius solubilis, mutabile bacillus (bach), oophorinum (suis), petroselinum sativum, pineal gland (suis), placenta totalis suis, progesterone, sepia, testosterone, uterus (suis)",1
doxycycline doxycycline doxycycline hyclate doxycycline monohydrate doxycycline hyclate,sucralfate sucralfate sucralfate sucralfate sucralfate oral,1
"tetracycline hydrochloride tetracycline hydrochloride adenosinum triphosphoricum dinatrum, l-asparagine (monohydrate), l-phenylalanine, quercetin, ileum (suis), jejunum (suis), stomach (suis), ascorbicum acidum, calcarea carbonica, ferrum iodatum, tetracycline, egg (hen whole), proteus (morgani) tetracycline hydrochloride tetracycline hydrochloride","umeclidinium bromide and vilanterol trifenatate umeclidinium bromide and vilanterol trifenatate fluticasone furoate, umeclidinium bromide and vilanterol trifenatate umeclidinium",0
tolmetin sodium tolmetin sodium tolmetin sodium tolmetin sodium tolmetin sodium,atenolol atenolol atenolol atenolol and chlorthalidone atenolol,0
glimepiride glimepiride glimepiride glimepiride glimepiride,"clobetasol propionate ointment usp, 0.05% clobetasol propionate clobetasol propionate clobetasol propionate ointment, 0.05% clobetasol propionate ointment usp, 0.05%",0
esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium,clopidogrel bisulfate clopidogrel clopidogrel bisulfate clopidogrel clopidogrel,1
paroxetine paroxetine paroxetine hydrochloride paroxetine hydrochloride paroxetine,mepolizumab,0
bumetanide bumetanide bumetanide bumetanide bumetanide,dalteparin sodium,1
sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline,liothyronine sodium liothyronine sodium levothyroxine and liothyronine liothyronine sodium liothyronine sodium,0
azithromycin azithromycin azithromycin azithromycin monohydrate azithromycin dihydrate,tiotropium bromide and olodaterol tiotropium bromide tiotropium bromide inhalation spray tiotropium bromide tiotropium bromide,1
sulindac sulindac sulindac sulindac sulindac,sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline,1
amiloride hydrochloride amiloride hydrochloride amiloride - apis mellifera - berberis vulgaris fruit - hieracium pilosella flowering top - hydrochlorothiazide - solidago virgaurea flowering top - spironolactone - sus scrofa pituitary gland - amiloride hydrochloride and hydrochlorothiazide amiloride hydrochloride,amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride,1
bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride,letrozole letrozole letrozole letrozole letrozole tablets,1
betamethasone dipropionate betamethasone sodium phosphate and betamethasone acetate betamethasone dipropionate betamethasone valerate betamethasone valerate,sodium iodide i-131 sodium iodide i 131 sodium iodide i 131,1
montelukast sodium montelukast sodium montelukast sodium montelukast sodium montelukast sodium,cyclophosphamide cyclophosphamide cyclophosphamide cyclophosphamide cyclophosphamide,0
alprazolam alprazolam alprazolam alprazolam alprazolam,fluticasone propionate nasal fluticasone propionate fluticasone propionate fluticasone propionate and salmeterol fluticasone propionate,0
"acetaminophen acetaminophen acetaminophen acetaminophen, dextromethorphan hbr, phenylephrine hcl acetaminophen",ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin hydrochloride,1
naproxen naproxen sodium 220mg naproxen naproxen naproxen sodium,buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride,0
clonidine hydrochloride clonidine hydrochloride clonidine hydrochloride clonidine hydrochloride clonidine hydrochloride,"methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, isopropyl alcohol methylprednisolone methylprednisolone sodium succinate",1
amiloride hydrochloride amiloride hydrochloride amiloride - apis mellifera - berberis vulgaris fruit - hieracium pilosella flowering top - hydrochlorothiazide - solidago virgaurea flowering top - spironolactone - sus scrofa pituitary gland - amiloride hydrochloride and hydrochlorothiazide amiloride hydrochloride,sitagliptin and metformin hydrochloride sitagliptin sitagliptin sitagliptin sitagliptin and metformin hydrochloride,1
terbutaline sulfate terbutaline sulfate terbutaline sulfate terbutaline sulfate terbutaline sulfate,mometasone furoate mometasone furoate mometasone furoate mometasone furoate mometasone furoate,0
sucralfate sucralfate sucralfate sucralfate sucralfate oral,diazepam diazepam diazepam diazepam diazepam oral,1
asenapine asenapine asenapine maleate asenapine maleate asenapine,phenytoin sodium phenytoin phenytoin phenytoin phenytoin sodium,1
cyclosporine ophthalmic solution cyclosporine cyclosporine cyclosporine cyclosporine,tacrolimus extended-release capsules tacrolimus tacrolimus tacrolimus tacrolimus,1
dexamethasone dexamethasone sodium phosphate dexamethasone sodium phosphate dexamethasone dexamethasone,cyclosporine ophthalmic solution cyclosporine cyclosporine cyclosporine cyclosporine,1
atorvastatin calcium atorvastatin film coated atorvastatin calcium amlodipine and atorvastatin atorvastatin calcium,lansoprazole lansoprazole lansoprazole lansoprazole lansoprazole,0
verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride,metoprolol tartrate metoprolol succinate er tablets metoprolol succinate metoprolol tartrate metoprolol tartrate,1
methyldopa methyldopa,"1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - betaine - bufo bufo cutaneous gland - calcium carbonate - chromic sulfate - cicuta virosa root - copper - folic acid - gold - cobalamin - iron - lachesis muta venom - melatonin - molybdenum - neurotrophin-3 - neurotrophin-4 - oxytocin - silicon dioxide - sus scrofa frontal lobe - sus scrofa temporal lobe - thyrotropin alfa - ubidecarenone - vanadium - zinc - brain-derived neurotrophic factor human - thyrotropin alfa",1
atorvastatin calcium atorvastatin film coated atorvastatin calcium amlodipine and atorvastatin atorvastatin calcium,asenapine asenapine asenapine maleate asenapine maleate asenapine,0
alirocumab alirocumab,acetylcysteine acetylcysteine acetylcysteine acetylcysteine acetylcysteine,0
propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride buspirone hydrochloride,1
ketoprofen ketoprofen ketoprofen,amoxicillin and clavulanate potassium amoxicillin amoxicillin amoxicillin and clavulanate potassium amoxicillin and clavulanate potassium,1
valacyclovir hydrochloride valacyclovir hydrochloride valacyclovir valacyclovir valacyclovir,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
meropenem meropenem meropenem meropenem meropenem,"desonide desonide desonide desonide desonide ointment, 0.05%",0
mepolizumab,ambrisentan ambrisentan ambrisentan ambrisentan ambrisentan,0
sildenafil citrate sildenafil sildenafil sildenafil citrate sildenafil,tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate,1
paliperidone paliperidone paliperidone paliperidone paliperidone palmitate,lopinavir and ritonavir ritonavir ritonavir ritonavir ritonavir,0
"quinapril quinapril quinapril and hydrochlorothiazide 10/12.5, quinapril and hydrochlorothiazide 20/12.5, quinapril and hydrochlorothiazide 20/25 quinapril and hydrochlorothiazide quinapril",valacyclovir hydrochloride valacyclovir hydrochloride valacyclovir valacyclovir valacyclovir,1
"acetaminophen acetaminophen acetaminophen acetaminophen, dextromethorphan hbr, phenylephrine hcl acetaminophen",lamotrigine lamotrigine lamotrigine lamotrigine lamotrigine,0
etodolac etodolac etodolac etodolac etodolac,diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate,0
"levothyroxine sodium levothyroxine sodium levothyroxine sodium 1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - levothyroxine sodium",liothyronine sodium liothyronine sodium levothyroxine and liothyronine liothyronine sodium liothyronine sodium,1
canagliflozin canagliflozin canagliflozin and metformin hydrochloride canagliflozin canagliflozin,tiotropium bromide and olodaterol olodaterol respimat inhalation spray,1
ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine ketorolac tromethamine,etodolac etodolac etodolac etodolac etodolac,0
oxcarbazepine oxcarbazepine oxcarbazepine oxcarbazepine oxcarbazepine,caspofungin acetate caspofungin acetate caspofungin acetate caspofungin acetate caspofungin acetate,0
acetylcysteine acetylcysteine acetylcysteine acetylcysteine acetylcysteine,gabapentin gabapentin gabapentin gabapentin gabapentin,0
carvedilol carvedilol carvedilol carvedilol carvedilol,exenatide exenatide,0
nebivolol nebivolol nebivolol nebivolol nebivolol,lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride lurasidone hydrochloride,1
ranitidine ranitidine ranitidine ranitidine hydrochloride ranitidine hydrochloride,enoxaparin sodium enoxaparin sodium enoxaparin sodium enoxaparin sodium enoxaparin sodium,1
cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,1
glyburide glyburide glyburide and metformin hydrochloride glyburide glyburide,methotrexate methotrexate methotrexate methotrexate methotrexate,0
"acetaminophen acetaminophen acetaminophen acetaminophen, dextromethorphan hbr, phenylephrine hcl acetaminophen",verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride,1
mometasone furoate mometasone furoate mometasone furoate mometasone furoate mometasone furoate,reslizumab,0
"imipenem and cilastatin sodium imipenem and cilastatin imipenem and cilastatin sodium imipenem anhydrous, cilastatin, and relebactam anhydrous imipenem and cilastatin sodium",ramipril ramipril ramipril ramipril ramipril,0
"diclofenac sodium diclofenac sodium diclofenac sodium diclofenac sodium topical gel, 1% diclofenac sodium",oral semaglutide semaglutide semaglutide semaglutide semaglutide,1
"dextromethorphan hbr, guaifenesin guaifenesin acetaminophen, dextromethorphan hydrobromide, guaifenesin, phenylephrine hydrochloride guaifenesin and pseudoephedrine hcl guaifenesin",azathioprine azathioprine azathioprine azathioprine azathioprine,0
meropenem meropenem meropenem meropenem meropenem,"aconitum napellus, argentum nitricum, arnica montana, arsenicum album, astragalus membranaceus, baptisia tinctoria, bryonia (alba), calendula officinalis, cortisone aceticum, echinacea (angustifolia), eupatorium perfoliatum, euphorbium officinarum, gelsemium sempervirens, hepar sulphuris calcareum, influenzinum (2023-2024), lachesis mutus, mercurius corrosivus, phosphorus, phytolacca decandra, pulsatilla (pratensis), pyrogenium, rhus tox, sanguinaria canadensis, spleen (suis), sulphur, thuja occidentalis, arnica montana, belladonna, cortisone aceticum, hypericum perforatum, symphytum officinale acetaldehyde, dopamine hydrochloride, dhea (dehydroepiandrosterone), 7-oxo- dehydroepiandrosterone 3-acetate, folliculinum, oophorinum (suis), cholesterinum, progesterone, testosterone, cortisone aceticum, aldosterone, androsterone, follicle stimulating hormone sarcolacticum acidum, viscum album, iodium, fucus vesiculosus, galium aparine, natrum oxalaceticum, thyroidinum (suis), dhea (dehydroepiandrosterone), phenyl isothiocyanate, tyramine, adenosinum triphosphoricum dinatrum, alpha-ketoglutaricum acidum, fumaricum acidum, malicum acid, colchicum autumnale, conium maculatum, funiculus umbilicalis suis, hepar suis, medulla ossis suis, pineal gland (suis), spleen (suis), thymus (suis), calcarea fluorica, pulsatilla (pratensis), spongia tosta, cortisone aceticum, caltha palustris, clematis erecta, galium aparine, hedera helix, juniperus communis, sedum acre, sempervivum tectorum, thuja occidentalis, urtica urens, echinacea (angustifolia), argentum metallicum, calcarea fluorica, nitricum acidum, phosphorus, cortisone aceticum, aurum metallicum, apis mellifica, ononis spinosa, gaertner bacillus (bach)",1
ranitidine ranitidine ranitidine ranitidine hydrochloride ranitidine hydrochloride,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
norethindrone acetate and ethinyl estradiol norethindrone acetate/ethinyl estradiol and ferrous fumarate norethindrone acetate and ethinyl estradiol and ferrous fumarate norethindrone acetate and ethinyl estradiol and ferrous fumarate norethindrone acetate/ethinyl estradiol,bleomycin sulfate bleomycin bleomycin bleomycin sulfate bleomycin,0
"acetaminophen acetaminophen acetaminophen acetaminophen, dextromethorphan hbr, phenylephrine hcl acetaminophen",sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline,1
ampicillin sodium and sulbactam sodium ampicillin sodium ampicillin sodium ampicillin ampicillin,methotrexate methotrexate methotrexate methotrexate methotrexate,1
sulfasalazine sulfasalazine sulfasalazine sulfasalazine sulfasalazine,lorazepam lorazepam lorazepam lorazepam lorazepam,0
vincristine sulfate vincristine sulfate,"loratadine loratadine loratadine loratadine loratadine, pseudoephedrine sulfate",1
duloxetine hydrochloride duloxetine hydrochloride duloxetine duloxetine duloxetine,imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride,1
desvenlafaxine succinate desvenlafaxine er desvenlafaxine desvenlafaxine succinate desvenlafaxine,tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate tamoxifen citrate,1
sildenafil citrate sildenafil sildenafil sildenafil citrate sildenafil,"povidone-iodine povidone-iodine povidone-iodine povidone iodine methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol",1
lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide lisinopril and hydrochlorothiazide lisinopril lisinopril,mesalamine mesalamine mesalamine mesalamine mesalamine,0
granisetron hydrochloride granisetron hydrochloride granisetron granisetron hydrochloride granisetron hydrochloride,sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline hydrochloride sertraline,1
warfarin sodium warfarin sodium warfarin sodium warfarin sodium warfarin sodium,fluoxetine hydrochloride fluoxetine hydrochloride fluoxetine hcl fluoxetine fluoxetine hydrochloride,1
ivabradine ivabradine ivabradine ivabradine ivabradine,cetirizine hydrochloride cetirizine hydrochloride cetirizine hcl cetirizine hcl cetirizine hydrochloride,1
"diclofenac sodium diclofenac sodium diclofenac sodium diclofenac sodium topical gel, 1% diclofenac sodium",amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride amitriptyline hydrochloride,0
ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin hydrochloride,diazepam diazepam diazepam diazepam diazepam oral,1
ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin hydrochloride,canagliflozin canagliflozin canagliflozin and metformin hydrochloride canagliflozin canagliflozin,1
topiramate topiramate topiramate topiramate topiramate,sirolimus sirolimus sirolimus sirolimus sirolimus,0
phenobarbital phenobarbital phenobarbital phenobarbital phenobarbital,terbutaline sulfate terbutaline sulfate terbutaline sulfate terbutaline sulfate terbutaline sulfate,0
voriconazole voriconazole voriconazole voriconazole voriconazole,norethindrone acetate and ethinyl estradiol norethindrone acetate/ethinyl estradiol and ferrous fumarate norethindrone acetate and ethinyl estradiol and ferrous fumarate norethindrone acetate and ethinyl estradiol and ferrous fumarate norethindrone acetate/ethinyl estradiol,1
bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride,morphine sulfate morphine sulfate morphine sulfate morphine sulfate morphine sulfate,0
nadolol nadolol nadolol nadolol nadolol,imatinib mesylate imatinib mesylate imatinib imatinib mesylate imatinib oral,1
nicardipine hydrochloride nicardipine hydrochloride nicardipine hydrochloride nicardipine hydrochloride nicardipine hydrochloride,sitagliptin and metformin hydrochloride metformin hydrochloride metformin hydrochloride glipizide and metformin hydrochloride metformin hydrochloride,1
"acetaminophen acetaminophen acetaminophen acetaminophen, dextromethorphan hbr, phenylephrine hcl acetaminophen",granisetron hydrochloride granisetron hydrochloride granisetron granisetron hydrochloride granisetron hydrochloride,1
"ketoconazole ketoconazole ketoconazole cream, 2% danil compound ketoconazole solution for scalp disorders. ketoconazole",baclofen baclofen injection baclofen baclofen baclofen,0
cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil cefpodoxime proxetil,esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium esomeprazole magnesium,0
amoxicillin and clavulanate potassium amoxicillin amoxicillin amoxicillin and clavulanate potassium amoxicillin and clavulanate potassium,famciclovir famciclovir famciclovir famciclovir famciclovir,0
ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin ciprofloxacin hydrochloride ciprofloxacin hydrochloride,paroxetine paroxetine paroxetine hydrochloride paroxetine hydrochloride paroxetine,1
mometasone furoate mometasone furoate mometasone furoate mometasone furoate mometasone furoate,letrozole letrozole letrozole letrozole letrozole tablets,0
famciclovir famciclovir famciclovir famciclovir famciclovir,everolimus everolimus everolimus everolimus everolimus,0
imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride imipramine hydrochloride,"diphenhydramine hcl acetaminophen, diphenhydramine hydrochloride, and phenylephrine hydrochloride diphenhydramine hydrochloride diphenhydramine hcl acetaminophen 500mg/ diphenhydramine hcl 25mg",1
granisetron hydrochloride granisetron hydrochloride granisetron granisetron hydrochloride granisetron hydrochloride,nortriptyline hydrochloride nortriptyline hydrochloride nortriptyline hydrochloride nortriptyline hcl nortriptyline hcl,1
lansoprazole lansoprazole lansoprazole lansoprazole lansoprazole,"1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - betaine - bufo bufo cutaneous gland - calcium carbonate - chromic sulfate - cicuta virosa root - copper - folic acid - gold - cobalamin - iron - lachesis muta venom - melatonin - molybdenum - neurotrophin-3 - neurotrophin-4 - oxytocin - silicon dioxide - sus scrofa frontal lobe - sus scrofa temporal lobe - thyrotropin alfa - ubidecarenone - vanadium - zinc - brain-derived neurotrophic factor human - thyrotropin alfa",1
olmesartan medoxomil-hydrochlorothiazide amlodipine and olmesartan medoxomil olmesartan medoxomil and hydrochlorothiazide olmesartan medoxomil and hydrochlorothiazide olmesartan medoxomil,lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide olmesartan medoxomil-hydrochlorothiazide lisinopril and hydrochlorothiazide hydrochlorothiazide,1
betamethasone dipropionate betamethasone sodium phosphate and betamethasone acetate betamethasone dipropionate betamethasone valerate betamethasone valerate,"levothyroxine sodium levothyroxine sodium levothyroxine sodium 1,4-benzoquinone - arnica montana - oxytocin - barium carbonate - barium oxalosuccinate - corticotropin - lead - levothyroxine - lutrelin - malic acid - melatonin - neurotrophin-3 - neurotrophin-4 - phenylalanine - pork liver - pyruvic acid - rinfabate - sus scrofa adrenal gland - sus scrofa frontal lobe - sus scrofa hypothalamus - thyrotropin alfa - brain-derived neurotrophic factor human - levothyroxine sodium",1
"aspirin aspirin aspirin acetaminophen, aspirin, and caffeine aspirin",triamcinolone acetonide triamcinolone acetonide triamcinolone acetonide triamcinolone acetonide triamcinolone acetonide,0
"acetaminophen acetaminophen acetaminophen acetaminophen, dextromethorphan hbr, phenylephrine hcl acetaminophen",fexofenadine hcl fexofenadine hcl fexofenadine hydrochloride and pseudoephedrine hydrochloride fexofenadine hydrochloride fexofenadine hydrochloride 180 mg,1
rivaroxaban rivaroxaban rivaroxaban rivaroxaban rivaroxaban,omalizumab omalizumab-igec,0
exenatide exenatide,amphotericin b amphotericin b amphotericin b amphotericin b amphotericin b,0
atenolol atenolol atenolol atenolol and chlorthalidone atenolol,"potassium iodide potassium iodide sodium ascorbate, cholecalciferol, di-alpha-tocopheryl acetate, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hcl, folic acid, cyanocobalamin, calcium formate, calcium carbonate, ferrous (ii) bis-glycinate chelate, potassium iodide, zinc oxide, choline bitartrate, with doconexent and icosapent potassium iodide bm potassium iodide (kali iod)",1
albuterol sulfate albuterol sulfate albuterol sulfate albuterol sulfate ipratropium bromide and albuterol sulfate,"levalbuterol inhalation 1.25mg/3ml, levalbuterol inhalation 0.63mg/3ml, levalbuterol inhalation 0.31mg/3ml levalbuterol levalbuterol hydrochloride levalbuterol levalbuterol hydrochloride",1
nadolol nadolol nadolol nadolol nadolol,doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride doxorubicin hydrochloride,0
verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride verapamil hydrochloride,lisinopril and hydrochlorothiazide tablets lisinopril and hydrochlorothiazide olmesartan medoxomil-hydrochlorothiazide lisinopril and hydrochlorothiazide hydrochlorothiazide,1
